"","Back Court(BC) | Back Court Shot","Center(C) | 16-24 ft.","Center(C) | 24+ ft.","Center(C) | 8-16 ft.","Center(C) | Less Than 8 ft.","Left Side Center(LC) | 16-24 ft.","Left Side Center(LC) | 24+ ft.","Left Side(L) | 16-24 ft.","Left Side(L) | 24+ ft.","Left Side(L) | 8-16 ft.","Right Side Center(RC) | 16-24 ft.","Right Side Center(RC) | 24+ ft.","Right Side(R) | 16-24 ft.","Right Side(R) | 24+ ft.","Right Side(R) | 8-16 ft."
"ShotsMadeTried","0/2","13/26","24/79","44/86","251/345","17/32","37/76","12/18","9/15","19/50","24/51","34/100","13/19","8/24","23/60"
"ShotsPerc","0","50","30.4","51.2","72.8","53.1","48.7","66.7","60","38","47.1","34","68.4","33.3","38.3"
"dst","0.2","2.6","8","8.7","35.1","3.3","7.7","1.8","1.5","5.1","5.2","10.2","1.9","2.4","6.1"
"la"," 2.1","40.2","35.3","43.5","56.5","40.8","35.3","40.9","38.9","40.8","39.5","35.3","39.3","38.8","38.8"
