"","Back Court(BC) | Back Court Shot","Center(C) | 16-24 ft.","Center(C) | 24+ ft.","Center(C) | 8-16 ft.","Center(C) | Less Than 8 ft.","Left Side Center(LC) | 16-24 ft.","Left Side Center(LC) | 24+ ft.","Left Side(L) | 16-24 ft.","Left Side(L) | 24+ ft.","Left Side(L) | 8-16 ft.","Right Side Center(RC) | 16-24 ft.","Right Side Center(RC) | 24+ ft.","Right Side(R) | 16-24 ft.","Right Side(R) | 24+ ft.","Right Side(R) | 8-16 ft."
"ShotsMadeTried","0/0","9/25","26/53","16/36","451/630","8/32","56/165","9/29","10/21","36/88","9/22","21/63","6/21","5/17","14/40"
"ShotsPerc","0","36","49.1","44.4","71.6","25","33.9","31","47.6","40.9","40.9","33.3","28.6","29.4","35"
"dst","0","2","4.3","2.9","50.7","2.6","13.3","2.3","1.7","7.1","1.8","5.1","1.7","1.4","3.2"
"la"," 2.5","40.2","35.3","43.4","56.7","41.0","35.1","41.1","38.8","40.3","39.5","35.3","39.5","38.9","39.5"
