"","Back Court(BC) | Back Court Shot","Center(C) | 16-24 ft.","Center(C) | 24+ ft.","Center(C) | 8-16 ft.","Center(C) | Less Than 8 ft.","Left Side Center(LC) | 16-24 ft.","Left Side Center(LC) | 24+ ft.","Left Side(L) | 16-24 ft.","Left Side(L) | 24+ ft.","Left Side(L) | 8-16 ft.","Right Side Center(RC) | 16-24 ft.","Right Side Center(RC) | 24+ ft.","Right Side(R) | 16-24 ft.","Right Side(R) | 24+ ft.","Right Side(R) | 8-16 ft."
"ShotsMadeTried","0/3","17/28","19/59","28/61","252/466","15/32","49/122","17/31","16/42","28/74","23/51","60/139","21/46","19/45","61/123"
"ShotsPerc","0","60.7","32.2","45.9","54.1","46.9","40.2","54.8","38.1","37.8","45.1","43.2","45.7","42.2","49.6"
"dst","0.2","2.1","4.5","4.6","35.2","2.4","9.2","2.3","3.2","5.6","3.9","10.5","3.5","3.4","9.3"
"la"," 2.5","40.2","35.3","43.4","56.7","41.0","35.1","41.1","38.8","40.3","39.5","35.3","39.5","38.9","39.5"
