"","Back Court(BC) | Back Court Shot","Center(C) | 16-24 ft.","Center(C) | 24+ ft.","Center(C) | 8-16 ft.","Center(C) | Less Than 8 ft.","Left Side Center(LC) | 16-24 ft.","Left Side Center(LC) | 24+ ft.","Left Side(L) | 16-24 ft.","Left Side(L) | 24+ ft.","Left Side(L) | 8-16 ft.","Right Side Center(RC) | 16-24 ft.","Right Side Center(RC) | 24+ ft.","Right Side(R) | 16-24 ft.","Right Side(R) | 24+ ft.","Right Side(R) | 8-16 ft."
"ShotsMadeTried","0/2","1/2","30/97","6/18","172/318","1/4","24/78","1/3","3/8","1/8","2/9","15/52","0/1","4/11","1/10"
"ShotsPerc","0","50","30.9","33.3","54.1","25","30.8","33.3","37.5","12.5","22.2","28.8","0","36.4","10"
"dst","0.3","0.3","15.6","2.9","51.2","0.6","12.6","0.5","1.3","1.3","1.4","8.4","0.2","1.8","1.6"
"la"," 2.5","40.2","35.3","43.4","56.7","41.0","35.1","41.1","38.8","40.3","39.5","35.3","39.5","38.9","39.5"
