"","Back Court(BC) | Back Court Shot","Center(C) | 16-24 ft.","Center(C) | 24+ ft.","Center(C) | 8-16 ft.","Center(C) | Less Than 8 ft.","Left Side Center(LC) | 16-24 ft.","Left Side Center(LC) | 24+ ft.","Left Side(L) | 16-24 ft.","Left Side(L) | 24+ ft.","Left Side(L) | 8-16 ft.","Right Side Center(RC) | 16-24 ft.","Right Side Center(RC) | 24+ ft.","Right Side(R) | 16-24 ft.","Right Side(R) | 24+ ft.","Right Side(R) | 8-16 ft."
"ShotsMadeTried","0/0","12/35","17/54","32/58","124/204","13/34","49/101","26/39","23/50","16/34","23/60","69/170","16/27","34/88","15/46"
"ShotsPerc","0","34.3","31.5","55.2","60.8","38.2","48.5","66.7","46","47.1","38.3","40.6","59.3","38.6","32.6"
"dst","0","3.5","5.4","5.8","20.4","3.4","10.1","3.9","5","3.4","6","17","2.7","8.8","4.6"
"la"," 2.1","40.2","35.3","43.5","56.5","40.8","35.3","40.9","38.9","40.8","39.5","35.3","39.3","38.8","38.8"
