"","Back Court(BC) | Back Court Shot","Center(C) | 16-24 ft.","Center(C) | 24+ ft.","Center(C) | 8-16 ft.","Center(C) | Less Than 8 ft.","Left Side Center(LC) | 16-24 ft.","Left Side Center(LC) | 24+ ft.","Left Side(L) | 16-24 ft.","Left Side(L) | 24+ ft.","Left Side(L) | 8-16 ft.","Right Side Center(RC) | 16-24 ft.","Right Side Center(RC) | 24+ ft.","Right Side(R) | 16-24 ft.","Right Side(R) | 24+ ft.","Right Side(R) | 8-16 ft."
"ShotsMadeTried","0/0","1/3","13/37","6/12","127/255","3/11","32/103","18/33","26/72","31/70","2/12","33/75","3/7","27/62","8/21"
"ShotsPerc","0","33.3","35.1","50","49.8","27.3","31.1","54.5","36.1","44.3","16.7","44","42.9","43.5","38.1"
"dst","0","0.4","4.8","1.6","33","1.4","13.3","4.3","9.3","9.1","1.6","9.7","0.9","8","2.7"
"la"," 2.5","40.2","35.3","43.4","56.7","41.0","35.1","41.1","38.8","40.3","39.5","35.3","39.5","38.9","39.5"
