"","Back Court(BC) | Back Court Shot","Center(C) | 16-24 ft.","Center(C) | 24+ ft.","Center(C) | 8-16 ft.","Center(C) | Less Than 8 ft.","Left Side Center(LC) | 16-24 ft.","Left Side Center(LC) | 24+ ft.","Left Side(L) | 16-24 ft.","Left Side(L) | 24+ ft.","Left Side(L) | 8-16 ft.","Right Side Center(RC) | 16-24 ft.","Right Side Center(RC) | 24+ ft.","Right Side(R) | 16-24 ft.","Right Side(R) | 24+ ft.","Right Side(R) | 8-16 ft."
"ShotsMadeTried","1/16","11/22","43/135","14/31","170/283","15/26","83/174","14/24","19/46","8/14","16/45","68/170","2/9","18/35","8/22"
"ShotsPerc","6.2","50","31.9","45.2","60.1","57.7","47.7","58.3","41.3","57.1","35.6","40","22.2","51.4","36.4"
"dst","1.5","2.1","12.8","2.9","26.9","2.5","16.5","2.3","4.4","1.3","4.3","16.2","0.9","3.3","2.1"
"la"," 2.1","40.2","35.3","43.5","56.5","40.8","35.3","40.9","38.9","40.8","39.5","35.3","39.3","38.8","38.8"
